From,To,Length,Capacity,Cost,Designation,Delay
Portland,SanFrancisco,864.014679735277,50,1,[Portland<->SanFrancisco(1)],FIBER
SanFrancisco,LosAngelos,562.544724715427,50,1,[SanFrancisco<->LosAngelos(1)],FIBER
LosAngelos,SanDiego,173.028054297415,50,1,[LosAngelos<->SanDiego(1)],FIBER
Portland,Saltlakecity,1026.95661359645,50,1,[Portland<->Saltlakecity(1)],FIBER
Saltlakecity,SanFrancisco,963.378253300089,50,1,[Saltlakecity<->SanFrancisco(1)],FIBER
Saltlakecity,Denver,596.491949656915,50,1,[Saltlakecity<->Denver(1)],FIBER
LosAngelos,Denver,1341.00469668242,50,1,[LosAngelos<->Denver(1)],FIBER
SanDiego,Oklahomacity,1476.42884803861,50,1,[SanDiego<->Oklahomacity(1)],FIBER
Oklahomacity,Denver,809.381974329673,50,1,[Oklahomacity<->Denver(1)],FIBER
SanDiego,Houston,1709.96400408563,50,1,[SanDiego<->Houston(1)],FIBER
Portland,Minneapolis,2290.81825077624,50,1,[Portland<->Minneapolis(1)],FIBER
Minneapolis,Springfield,645.476287622202,50,1,[Minneapolis<->Springfield(1)],FIBER
Springfield,Houston,1214.023701357,50,1,[Springfield<->Houston(1)],FIBER
Oklahomacity,Nashville,969.096740060177,50,1,[Oklahomacity<->Nashville(1)],FIBER
Houston,Nashville,1069.93597557903,50,1,[Houston<->Nashville(1)],FIBER
Houston,Neworleans,512.887065979369,50,1,[Houston<->Neworleans(1)],FIBER
Neworleans,Jacksonville,813.1731510012,50,1,[Neworleans<->Jacksonville(1)],FIBER
Neworleans,Atlanta,691.284607598929,50,1,[Neworleans<->Atlanta(1)],FIBER
Atlanta,Jacksonville,466.458067654332,50,1,[Atlanta<->Jacksonville(1)],FIBER
Jacksonville,Columbia,419.492993752677,50,1,[Jacksonville<->Columbia(1)],FIBER
Minneapolis,Detroit,869.878471944489,50,1,[Minneapolis<->Detroit(1)],FIBER
Detroit,Indianapolis,384.963296117962,50,1,[Detroit<->Indianapolis(1)],FIBER
Indianapolis,Atlanta,688.549028869414,50,1,[Indianapolis<->Atlanta(1)],FIBER
Indianapolis,Columbia,790.861812369656,50,1,[Indianapolis<->Columbia(1)],FIBER
Detroit,Pittsburgh,332.658818324236,50,1,[Detroit<->Pittsburgh(1)],FIBER
Washington,Columbia,648.686058060001,50,1,[Washington<->Columbia(1)],FIBER
Pittsburgh,Washington,310.013413304213,50,1,[Pittsburgh<->Washington(1)],FIBER
Nashville,Springfield,479.637257694468,50,1,[Nashville<->Springfield(1)],FIBER
Nashville,Washington,915.865258724792,50,1,[Nashville<->Washington(1)],FIBER
Atlanta,NewYork,1205.66527402258,50,1,[Atlanta<->NewYork(1)],FIBER
Washington,NewYork,333.190941720537,50,1,[Washington<->NewYork(1)],FIBER
Pittsburgh,NewYork,508.582233992057,50,1,[Pittsburgh<->NewYork(1)],FIBER


