From,To,Length,Capacity,Cost
Seattle,Portland,228.9496278,1,1
Seattle,Boise,651.336573,1,1
Portland,Sunnyvale,805.9996587,1,1
Sunnyvale,Saltlakecity,907.6959681,1,1
Saltlakecity,Boise,482.8531716,1,1
Sunnyvale,LosAngeles,585.3704344,1,1
LosAngeles,SanDiego,173.0280543,1,1
SanDiego,ElPaso,1010.35231,1,1
ElPaso,Albuquerque,368.2777192,1,1
Albuquerque,Denver,538.7164674,1,1
Denver,Saltlakecity,596.4919497,1,1
Denver,Kansascity,897.2056813,1,1
Kansascity,Tulsa,614.4291907,1,1
Tulsa,Houston,460.2661125,1,1
Houston,ElPaso,1078.984411,1,1
Houston,BatonRouge,479.4251338,1,1
BatonRouge,Jacksonville,851.3910308,1,1
Jacksonville,Atlanta,461.6560406,1,1
Atlanta,Nashville,344.8921735,1,1
Nashville,Indianapolis,413.1310214,1,1
Indianapolis,Chicago,257.4003038,1,1
Chicago,Kansascity,661.0307304,1,1
Chicago,Cleveland,494.5193334,1,1
Cleveland,Pittsburgh,176.2465409,1,1
Pittsburgh,Washington,310.0134133,1,1
Washington,Raleigh,373.6411502,1,1
Raleigh,Atlanta,566.7261061,1,1
Washington,Philadelphia,194.019357,1,1
Philadelphia,NewYork,141.2747846,1,1
NewYork,Boston,298.2704313,1,1
Boston,Cleveland,886.6923675,1,1


