From,To,Length,Capacity,Cost
Amarilho,Albuquerque,458,5,297700
Denver,Albuquerque,667,2,433550
NewYork,Allentown,137,2,89050
Scranton,Allentown,113,5,73450
Stamford,Allentown,192,6,124800
Birminghan,Atlanta,234,9,152100
Macon,Atlanta,130,7,84500
Atlanta,Augusta,234,3,152100
Modesto,Bakersfield,324,3,210600
SanDiego,Bakersfield,369,4,239850
SanJose,Bakersfield,387,1,251550
Spokane,Billings,865,6,562250
Allentown,Binghamton,204,2,132600
Scranton,Binghamton,93,9,60450
Syracuse,Binghamton,207,3,134550
Jackson,Birminghan,377,4,245050
Portland,Boise,688,3,447200
Spokane,Boise,664,2,431600
Manchester,Boston,83,2,53950
Stamford,Bridgeport,35,5,22750
Cleveland,Buffalo,300,13,195000
Syracuse,Buffalo,235,12,152750
Cincinnati,Charleston,331,4,215150
Columbus,Charleston,257,4,167050
Pittsburgh,Charleston,352,5,228800
wytheville,Charleston,204,5,132600
Atlanta,Charlotte,386,4,250900
Atlanta,chattanooga,187,4,121550
Milwaukee,Chicago,138,7,89700
Peoria,Chicago,245,7,159250
Knoxville,Cincinnati,403,4,261950
Louisville,Cincinnati,159,7,103350
Miami,clearwater,438,2,284700
Columbus,Cleveland,220,14,143000
Pittsburgh,Cleveland,204,11,132600
Toledo,Cleveland,175,10,113750
Augusta,Columbia,109,2,70850
Cincinnati,Columbus,168,4,109200
Indianapolis,Columbus,273,15,177450
Toledo,Columbus,211,3,137150
Houston,Dallas,383,6,248950
Oklahomacity,Dallas,328,4,213200
Waco,Dallas,150,3,97500
Amarilho,Denver,676,3,439400
Saltlakecity,Denver,797,12,518050
Kansascity,DesMoines,305,3,198250
Minneapolis,DesMoines,390,3,253500
Peoria,DesMoines,404,6,262600
Grandrapids,Detroit,237,2,154050
Albuquerque,ElPaso,425,2,276250
lubbock,ElPaso,551,9,358150
Billings,Fargo,974,6,633100
Minneapolis,Fargo,369,6,239850
Billings,FortCollins,798,3,518700
Denver,FortCollins,99,3,64350
Charlotte,Greensboro,143,5,92950
Raleigh,Greensboro,119,3,77350
wytheville,Greensboro,174,5,113100
Bridgeport,Hartford,83,4,53950
chicopee,Hartford,47,4,30550
LakeKatrina,Hartford,139,7,90350
SanAntonio,Houston,312,2,202800
Southbend,Indianapolis,221,3,143650
StLouis,Indianapolis,386,17,250900
Memphis,Jackson,334,3,217100
Neworleans,Jackson,298,3,193700
Gainesville,Jacksonville,109,2,70850
Orlando,Jacksonville,217,3,141050
Jacksonville,Jupiter,423,4,274950
Miami,Jupiter,140,3,91000
Oklahomacity,Kansascity,560,2,364000
StLouis,Kansascity,397,13,258050
Wichita,Kansascity,313,8,203450
Charlotte,Knoxville,358,2,232700
chattanooga,Knoxville,175,4,113750
Nashville,Knoxville,287,4,186550
Binghamton,LakeKatrina,209,8,135850
Schenectady,LakeKatrina,103,4,66950
Stamford,LakeKatrina,132,2,85800
Saltlakecity,Lasvegas,671,3,436150
SanDiego,Lasvegas,532,2,345800
Oklahomacity,Littlerock,539,2,350350
shreveport,Littlerock,332,2,215800
SanJose,LosAngelos,545,3,354250
